timestamp,open,high,low,close,volume,close_time,quote_volume,trades,taker_buy_base,taker_buy_quote,ignore,_tf
1776912300000,0.09585,0.0959,0.09573,0.09575,1668035.0,1776912599999,159767.28044000,931,232548.00000000,22278.96276000,0,5m
1776912600000,0.09575,0.09593,0.09574,0.09591,2152679.0,1776912899999,206292.53890000,1346,1209204.00000000,115905.61747000,0,5m
1776912900000,0.09591,0.09594,0.09585,0.09589,1982145.0,1776913199999,190104.36477000,846,1504098.00000000,144263.68768000,0,5m
1776913200000,0.09588,0.09602,0.09584,0.096,3842192.0,1776913499999,368619.47235000,2281,2498649.00000000,239728.39372000,0,5m
1776913500000,0.09599,0.09599,0.09574,0.09576,1346228.0,1776913799999,129011.81634000,1162,157025.00000000,15052.10930000,0,5m
1776913800000,0.09577,0.09579,0.0955,0.0955,4337732.0,1776914099999,414878.14742000,1903,491684.00000000,47013.01314000,0,5m
1776914100000,0.09551,0.0956,0.09539,0.09548,3390894.0,1776914399999,323765.30613000,2236,1531385.00000000,146225.53800000,0,5m
1776914400000,0.09548,0.09556,0.0954,0.09542,2430739.0,1776914699999,232050.47505000,1556,730370.00000000,69730.35934000,0,5m
1776914700000,0.09543,0.09546,0.09541,0.09544,495609.0,1776914999999,47301.22164000,716,185473.00000000,17702.09246000,0,5m
1776915000000,0.09544,0.0955,0.09528,0.09538,5998045.0,1776915299999,572132.25261000,3312,2725483.00000000,260008.02491000,0,5m
1776915300000,0.09538,0.09546,0.09531,0.09543,2980052.0,1776915599999,284191.56681000,1698,1155166.00000000,110183.76763000,0,5m
1776915600000,0.09543,0.09551,0.09531,0.0955,4367461.0,1776915899999,416583.68386000,2080,1723413.00000000,164442.13940000,0,5m
1776915900000,0.09551,0.09558,0.09543,0.09548,2133798.0,1776916199999,203783.45974000,1422,454472.00000000,43404.99027000,0,5m
1776916200000,0.09549,0.09554,0.09545,0.09551,842008.0,1776916499999,80389.34053000,745,207385.00000000,19801.53687000,0,5m
1776916500000,0.0955,0.09563,0.09543,0.0956,2044235.0,1776916799999,195286.01418000,941,1429151.00000000,136531.78555000,0,5m
1776916800000,0.0956,0.09568,0.09554,0.09567,5320418.0,1776917099999,508838.49186000,1569,2468245.00000000,236053.23407000,0,5m
1776917100000,0.09566,0.09578,0.0956,0.09577,1964218.0,1776917399999,187934.60760000,1336,1122621.00000000,107426.47302000,0,5m
1776917400000,0.09578,0.09589,0.09578,0.09585,952752.0,1776917699999,91303.80572000,1143,576397.00000000,55243.84526000,0,5m
1776917700000,0.09585,0.09585,0.09576,0.09577,3710138.0,1776917999999,355427.57951000,980,1231590.00000000,117986.52692000,0,5m
1776918000000,0.09577,0.0959,0.09571,0.09571,1402901.0,1776918299999,134479.26333000,1076,1001626.00000000,96037.97353000,0,5m
1776918300000,0.09571,0.09583,0.0957,0.09579,766795.0,1776918599999,73442.32366000,651,329698.00000000,31579.40866000,0,5m
1776918600000,0.09579,0.09598,0.09578,0.09596,976660.0,1776918899999,93682.64818000,1248,765209.00000000,73396.60163000,0,5m
1776918900000,0.09595,0.09604,0.09595,0.096,756977.0,1776919199999,72679.01202000,810,461818.00000000,44338.42316000,0,5m
